Date, ALMANYA, ARNAVUTLUK, AVUSTURYA, BELCIKA, BOSNAHERSEK, BULGARISTAN, CEKCUMHURIYETI, DANIMARKA, ESTONYA, FINLANDIYA, FRANSA, GKIBRIS, HIRVATISTAN, HOLLANDA, INGILTERE, IRLANDA, ISPANYA, ISVEC, ISVICRE, ITALYA, IZLANDA, KARADAG, KOSOVA, LETONYA, LITVANYA, LUKSEMBURG, MACARISTAN, MAKEDONYA, MALTA, NORVEC, POLONYA, PORTEKIZ, ROMANYA, SIRBISTAN, SLOVAKYA, SLOVENYA, YUNANISTAN, DAVRUPA, AVRUPATOP, AZERBAYCAN, BELARUS, ERMENISTAN, GURCISTAN, KAZAKISTAN, KIRGIZISTAN, MOLDOVACUM, OZBEKISTAN, RUSYA, TACIKISTAN, TURKMENISTAN, UKRAYNA, BDTTOPLAM, ABD, ARJANTIN, BREZILYA, KANADA, KOLOMBIYA, MEKSIKA, SILI, VENEZUELLA, DAMERIKA, AMERIKATOP, CEZAYIR, FAS, GAFRIKA, LIBYA, MISIR, SUDAN, TUNUS, DAFRIKA, AFRIKATOP, BAE, BAHREYN, BANGLADES, CIN, ENDONEZYA, FILIPINLER, GKORE, HINDISTAN, IRAK, IRAN, ISRAIL, JAPONYA, KKTC, KATAR, KUVEYT, LUBNAN, MALEZYA, PAKISTAN, SINGAPUR, SURIYE, SUUDARABISTAN, TAYLAND, URDUN, YEMEN, DASYA, ASYATOP, AVUSTRALYA, YENIZELLANDA, OKYANUSYA, MILLIYESIZ, GTOPLAM
01-01-2008,17723300,281100,2020700,1238900,254600,9904800,182400,561300,42600,192100,3079600,29600,235400,3201200,3521500,208600,772400,815600,965500,2491800,7200,0,0,112600,107600,16400,226600,548000,11400,348800,454300,81000,1696600,844900,88300,127900,2765600,9100,55169300,2997800,176400,250000,4051700,605900,385900,776900,343100,5274100,296500,522100,2078900,17759300,2258100,66200,144200,367000,27700,72000,18500,49400,159000,3162100,371900,208800,58600,252600,232000,32900,254100,116400,1527300,56800,19400,22600,384800,54500,124800,1393300,282500,877100,2912000,1650000,1098500,1069600,9100,27500,183600,115300,185800,73600,2446400,72100,56300,278700,11600,292100,13698000,482300,49700,300,105600,91953900
01-02-2008,14366600,260400,1629500,1130900,234200,8270700,206400,546400,51500,172300,2922800,36900,173800,2356500,3338500,172300,833100,580800,894700,1520400,9900,0,0,130900,119800,15500,228100,525300,11000,320300,500900,99900,2194100,724800,137900,137800,2199000,6000,47059900,3302800,299900,358600,4382000,877700,339800,932200,452000,4699900,483700,540700,2147400,18816700,1856200,61200,144600,298100,10700,54600,55400,12500,189500,2682800,282500,209400,57800,187100,320100,22000,221600,160000,1460500,25200,16600,35700,497200,48600,201800,1065200,268800,1041800,3661900,1940800,1119700,1509000,10500,47800,171900,167900,168500,90900,2494900,149900,51600,259400,29900,319100,15394600,325400,39400,1100,94700,85875100
01-03-2008,24979700,362600,2355800,2109700,295200,10287700,252400,1128800,69500,414200,3683200,43500,264900,3466000,4644500,359300,2766400,1124800,1336800,2580500,36700,0,0,205000,226200,34100,308500,593000,28000,842400,510000,184900,2145100,844100,140800,132200,4438400,14500,73209400,3711100,304000,373100,4973900,807000,359700,1043300,413300,5203400,616900,656200,2365400,20827300,2947900,78900,131800,509000,23800,143000,24800,41200,185700,4086100,393600,233800,107700,267200,341200,33600,368400,170900,1916400,60500,24700,24500,401400,91000,204000,871700,418000,1316500,8183700,2985800,1285800,1162100,11300,25600,284200,242400,180000,111700,2720300,101600,100300,328000,28700,407300,21571100,357100,59200,6900,123300,122156800
01-04-2008,24253100,321900,2266800,3077200,353900,11062700,419800,1087800,109800,766100,7322100,52700,238400,4795000,8584100,384600,2059900,1484300,1468100,3493600,62200,0,0,225100,340000,39400,397400,798500,25900,969200,954700,200600,2619400,935700,195700,191000,4609900,13300,86179900,3526700,413000,401100,5755400,817800,347400,1165400,399100,6456500,436100,682500,2956800,23357800,3892200,91600,238700,739500,28300,150100,52700,46900,223500,5463500,489800,277400,126700,317200,344100,33000,287700,182600,2058500,40500,23200,22400,458600,114900,197100,1278200,420100,1253900,6323800,5099200,1151600,1428300,15800,89600,393900,184000,174600,130200,2770400,207400,108100,345500,33100,454700,22719100,1008400,224900,7000,130400,141149500
01-05-2008,39972400,415600,3226500,5048300,470900,14864200,928600,2600800,450800,1247900,8554900,88800,299700,18331200,20334000,1193600,3193400,4748200,2243300,5849900,46300,0,0,695000,1442300,281300,536400,804200,24200,2266700,3485500,339300,3209500,1195000,281500,364900,5165600,17000,154217700,3994600,1462300,475600,7067300,1268300,367800,1507400,464500,28472000,387300,674000,9042800,55183900,8043000,235800,515700,1857800,48800,228700,109400,74400,336800,11450400,528400,327400,224400,337900,407300,56200,413500,280700,2575800,61700,32300,26700,610000,150000,245600,1296000,678300,1353000,8779100,4066500,1325800,1525800,15400,88400,256500,261400,265900,169300,3086900,202500,100500,433600,44400,785400,25861000,1301100,260600,1100,148100,250999700
01-06-2008,36414500,486200,4476200,5441500,609300,14289600,2282400,2959100,464900,1256500,7648100,89800,250000,9947300,28910400,1795500,3126700,5310900,1882400,7287600,206500,0,0,755100,1556000,60600,1013800,883000,26200,3389600,4863000,405800,4722500,1524700,927800,355800,5493900,23000,161136200,4223700,2681600,496600,6519200,2954200,394600,1808900,526100,51498400,270300,680000,10012600,82066200,7991700,236300,434000,1268400,65600,278700,101200,78900,496300,10951100,479200,346000,222700,369500,369700,93100,387400,275000,2542600,145800,52000,35600,528600,191400,293500,990500,655100,1571400,11461500,6260700,1534800,1601000,27200,170700,433800,283700,319600,220000,3257200,275800,77900,732900,42600,665300,31828600,1302400,268700,1100,197900,290294800
01-07-2008,51984900,971800,6917400,10271400,885400,14919400,3061700,6227100,560200,1153200,8568800,202100,305700,15020700,31908700,1955500,4026600,6395300,3283800,5692500,153500,0,0,710400,1314000,61700,1967400,1390200,28400,5371000,8822300,428600,6427200,2782000,1641100,649800,5910300,28900,211999000,4500300,2847400,743400,7852700,4057700,380000,1621500,646400,49283100,172000,742200,11568100,84414800,8850600,182300,681000,1590300,108000,486500,99500,119600,569900,12687700,565200,429600,308000,428000,654700,69300,437500,252000,3144300,520500,198700,45500,598100,213900,270300,996300,546400,2481700,13154000,7401800,1243400,2661100,111000,491900,690800,129000,327900,116700,4342600,958700,77300,1533500,63500,952200,40126800,1507400,333700,1700,364100,354579500
01-08-2008,72877400,1253400,14520500,13076900,955400,15192400,2995500,5423300,494400,1271100,21413700,244900,355900,26482300,40754100,2276800,6157300,7336400,3979800,11851400,124100,0,0,816500,1349200,186600,1745900,1751700,70100,4653200,7539800,708700,7483100,3370300,1564300,512700,7837800,32000,288658900,5077000,2642200,1144800,7419400,4440200,430100,1811800,776900,51984300,222900,862500,12247000,89059100,7297100,173300,339400,1763500,53600,213900,84400,167200,1879800,11972200,1063600,785300,281100,592100,987900,93800,497000,319600,4620400,666200,295300,26300,443600,140900,275500,1184000,473300,3614000,13879800,9491900,1470900,3102400,207100,779700,1094300,143900,402600,84600,5232800,2497200,95400,1628500,100500,841600,48172300,1787500,284200,3600,449900,445008100
01-09-2008,53688400,898400,4999600,7913800,539600,16286100,2993300,2936200,490400,1337100,9124700,94200,295900,11251600,37973300,1773400,4916900,5280100,2381900,7867100,150500,0,0,901800,1331500,236800,1429300,853100,54500,3144200,7698700,557800,7796100,2102300,1290000,485200,4600000,18800,205692600,4510200,2357800,609900,8944600,2596400,432400,1440200,644300,47010800,162100,756200,10540700,80005600,8197300,321700,677100,2498700,94200,348300,151300,138300,405900,12832800,360600,191000,283700,299600,241700,41500,257400,226300,1901800,20300,14700,30500,465200,87300,218200,787100,383900,1962700,7884600,5698400,1253800,1630500,6100,81700,519800,137200,236900,142800,3079700,249900,78000,288100,26100,593100,25876600,1835200,345000,2600,207600,328699800
01-10-2008,60136700,389000,4166800,5064100,587000,12497600,1954400,3103100,467500,1798300,7260900,59000,356800,15398900,28224100,913900,2918000,5097000,4823000,5917500,111000,0,0,849700,1064000,76700,1001300,790900,27400,2714400,3801000,277800,2855300,1198200,341100,445800,5352200,30000,182070400,3045300,1546700,584300,8127700,1406300,422100,1017000,589600,25166000,141900,781300,6569400,49397600,9892800,271800,693100,2832000,76900,497600,78700,139800,355200,14837900,521000,350000,221500,356300,581900,70400,285100,239100,2625300,92200,49000,42000,531900,189200,300800,928400,480400,2040900,11493400,6838500,1374500,1538400,26100,109400,506600,297600,259200,205600,3518700,405600,133100,694500,47300,756200,32859500,1631500,334600,1100,239400,283997300
